,job status,marital,education,housing,approval,age,balance,duration
89,1,0,1,1,0,34.0,1831,203.0
90,1,0,0,0,0,39.0,111,201.0
92,7,1,1,1,1,27.0,-195,391.0
93,4,1,2,0,0,32.0,3616,165.0
94,1,0,1,0,0,57.0,14093,231.0
95,11,1,2,0,0,41.0,1567,291.0
96,0,0,2,1,0,41.0,5426,149.0
97,0,1,2,0,0,30.0,261,233.0
98,1,2,1,0,0,36.0,2843,473.0
99,10,1,0,0,1,31.0,406,736.0
100,1,0,1,1,0,36.0,0,337.0
101,4,1,2,1,0,38.0,493,553.0
102,9,0,1,0,0,49.0,5996,345.0
103,7,1,0,1,0,57.0,3777,65.0
104,4,1,1,0,0,34.0,524,9.0
105,4,1,2,1,0,32.0,574,259.0
106,1,0,1,1,0,37.0,427,371.0
107,6,0,2,1,0,33.0,483,280.0
108,10,0,0,0,1,56.0,3391,243.0
109,3,0,0,1,0,27.0,0,435.0
110,8,1,1,0,1,21.0,2488,258.0
111,4,0,2,1,0,58.0,1517,7.0
112,6,0,1,1,0,32.0,217,317.0
113,1,1,1,0,0,33.0,22,76.0
114,8,1,1,0,1,25.0,331,170.0
115,9,1,1,0,1,25.0,505,386.0
116,7,0,1,1,0,30.0,1808,83.0
117,0,1,1,0,0,22.0,4111,65.0
118,1,0,0,0,0,39.0,52,69.0
119,4,2,2,0,0,46.0,25,564.0
120,0,2,1,1,0,31.0,1890,588.0
121,1,0,0,0,0,45.0,419,113.0
122,9,0,1,1,0,32.0,2693,16.0
123,1,0,1,0,0,36.0,-231,779.0
124,4,1,2,1,0,51.0,-55,281.0
125,6,1,2,0,1,34.0,462,1877.0
126,10,1,1,0,0,24.0,119,51.0
127,9,1,1,0,0,45.0,586,32.0
128,1,1,1,0,0,32.0,228,176.0
129,5,2,2,0,1,77.0,4659,161.0
130,1,0,0,1,0,41.0,168,187.0
131,1,0,0,1,0,37.0,0,24.0
132,1,0,3,1,0,43.0,-715,67.0
133,0,0,3,1,0,48.0,0,85.0
134,9,1,1,1,0,27.0,769,317.0
135,4,1,2,0,0,33.0,0,-98.0
136,0,1,1,1,0,29.0,428,54.0
137,4,1,2,0,0,34.0,0,71.0
138,4,0,2,1,1,52.0,-970,489.0
139,4,0,3,0,0,60.0,6313,39.0
140,4,2,2,0,0,32.0,948,204.0
141,4,1,2,1,0,32.0,0,455.0
142,7,2,3,1,0,56.0,1877,86.0
143,4,1,2,1,0,31.0,874,190.0
144,0,0,1,1,0,42.0,323,280.0
145,4,0,2,0,0,35.0,106,588.0
146,5,0,0,0,0,56.0,1906,45.0
147,9,0,1,1,0,48.0,1152,168.0
148,0,0,1,1,0,46.0,179,194.0
149,9,1,3,1,0,37.0,391,103.0
150,2,0,3,1,0,41.0,89,333.0
151,4,1,2,1,0,36.0,442,102.0
152,10,2,0,1,0,45.0,-249,92.0
153,2,0,1,0,0,55.0,8104,213.0
154,9,0,1,0,0,39.0,501,289.0
155,9,2,1,0,0,35.0,308,77.0
156,0,0,1,0,1,55.0,602,324.0
157,9,0,1,1,0,55.0,273,84.0
158,6,1,1,0,0,27.0,50,168.0
159,9,0,1,1,0,34.0,1641,380.0
160,1,0,2,0,0,34.0,20,10.0
161,0,1,1,1,0,25.0,4590,199.0
162,0,1,1,0,0,41.0,-256,-35.0
163,7,0,1,1,0,43.0,978,82.0
164,4,1,2,0,1,28.0,80,676.0
165,0,1,1,1,0,31.0,2104,455.0
166,3,0,1,0,0,78.0,499,80.0
167,1,2,1,1,0,45.0,1269,549.0
168,9,0,2,0,0,48.0,310,135.0
169,1,1,1,1,0,32.0,1143,412.0
170,9,0,1,0,0,42.0,2980,101.0
171,4,1,2,0,0,37.0,37,253.0
172,0,1,1,1,0,40.0,462,272.0
173,0,0,1,1,0,32.0,1031,84.0
174,4,0,2,0,0,42.0,9009,135.0
175,0,0,1,1,0,43.0,-465,166.0
176,0,0,1,1,0,44.0,5181,18.0
177,0,0,1,1,0,37.0,176,147.0
178,11,0,3,0,0,37.0,1699,63.0
179,0,0,2,1,0,37.0,0,65.0
180,9,1,2,1,0,28.0,172,194.0
181,7,1,1,0,0,32.0,0,333.0
182,0,1,1,1,0,34.0,6979,14.0
183,0,2,1,0,0,40.0,6,140.0
184,7,0,1,1,0,34.0,-62,109.0
185,6,0,2,1,0,34.0,1972,61.0
186,0,0,2,1,0,34.0,899,377.0
187,7,1,1,1,0,37.0,21,96.0
188,9,0,1,1,0,36.0,23,152.0
189,5,0,1,1,1,56.0,-1206,382.0
190,1,0,0,1,0,49.0,0,97.0
191,6,0,1,1,0,33.0,215,543.0
192,4,1,2,0,0,30.0,1372,240.0
193,7,0,1,0,0,36.0,1981,48.0
194,8,1,1,0,0,23.0,9216,471.0
195,5,2,1,1,0,57.0,39,354.0
196,1,1,1,1,0,27.0,5563,435.0
197,7,0,1,0,0,38.0,1,152.0
198,9,0,2,0,0,42.0,782,285.0
199,5,0,1,0,1,75.0,3771,185.0
200,9,1,2,1,0,34.0,992,301.0
201,9,0,1,0,0,48.0,1526,273.0
202,9,1,2,1,1,35.0,2658,768.0
203,4,2,2,1,0,39.0,1315,1337.0
204,1,1,2,0,1,29.0,455,403.0
205,9,1,2,1,0,45.0,0,139.0
206,9,0,1,1,0,42.0,2030,196.0
207,9,0,1,1,0,29.0,1599,115.0
208,7,1,1,1,0,38.0,-196,60.0
209,5,0,1,0,0,56.0,1333,17.0
210,9,1,1,1,0,36.0,9149,141.0
211,1,1,1,1,0,25.0,-350,95.0
212,9,0,2,1,0,38.0,432,10.0
213,6,0,1,0,0,57.0,11494,198.0
214,4,0,2,0,0,31.0,-253,220.0
215,4,0,2,1,1,42.0,372,654.0
216,9,0,1,0,0,45.0,1410,71.0
217,1,0,1,1,0,30.0,975,256.0
218,1,0,0,1,0,49.0,305,834.0
219,7,0,1,0,0,49.0,400,151.0
220,5,0,2,1,0,53.0,-22,20.0
221,9,0,1,1,0,37.0,4030,178.0
222,1,0,0,0,0,49.0,365,59.0
223,6,0,0,0,0,41.0,204,111.0
224,4,0,0,1,0,54.0,1691,186.0
225,7,1,1,1,0,32.0,406,227.0
226,9,0,1,0,0,33.0,-204,297.0
227,9,0,1,1,0,33.0,359,210.0
228,1,0,0,1,0,36.0,123,9.0
229,9,0,2,1,0,35.0,0,112.0
230,11,0,1,0,0,52.0,142,112.0
231,2,0,2,0,0,40.0,3571,222.0
232,9,1,1,1,0,44.0,33,195.0
233,1,1,1,1,0,45.0,0,768.0
234,8,1,1,0,0,30.0,3096,123.0
235,9,2,1,0,0,48.0,20,145.0
236,1,0,1,1,0,33.0,3576,124.0
237,9,0,3,1,0,57.0,206,216.0
238,3,0,0,0,0,57.0,7082,69.0
239,10,0,2,1,0,51.0,1634,168.0
240,0,1,1,1,0,34.0,1,483.0
241,6,0,2,0,0,50.0,4012,690.0
242,4,0,2,0,0,44.0,3762,125.0
243,0,0,1,1,0,27.0,-247,344.0
244,1,0,1,1,0,50.0,606,673.0
245,4,0,2,1,0,36.0,0,60.0
246,4,0,1,1,0,42.0,-189,247.0
247,10,1,1,0,0,32.0,0,123.0
248,4,0,2,1,0,42.0,484,144.0
249,9,0,1,0,0,43.0,0,9.0
250,4,0,2,1,0,31.0,395,155.0
251,4,0,2,0,0,32.0,2349,134.0
252,1,2,0,0,0,55.0,410,221.0
253,5,0,0,1,0,58.0,3401,84.0
254,1,0,0,0,0,46.0,222,71.0
255,1,0,1,1,0,55.0,989,246.0
256,4,0,2,0,0,34.0,415,361.0
257,10,1,1,0,0,28.0,16,119.0
258,9,2,2,1,0,42.0,7190,375.0
259,1,1,1,0,1,29.0,482,1097.0
260,3,0,1,1,0,54.0,209,97.0
261,9,1,1,0,0,32.0,0,181.0
262,9,1,2,0,0,39.0,5803,83.0
263,2,0,2,0,0,53.0,624,180.0
264,9,0,2,0,0,58.0,883,543.0
265,6,0,1,1,0,40.0,1516,373.0
266,8,1,1,1,0,29.0,872,230.0
267,9,0,2,1,0,33.0,-988,83.0
268,0,1,1,1,0,38.0,902,58.0
269,7,2,1,0,0,56.0,1007,88.0
270,7,0,1,1,0,40.0,0,297.0
271,1,1,1,1,1,24.0,174,487.0
272,4,0,1,0,0,46.0,12186,29.0
273,6,0,1,1,0,35.0,524,484.0
274,1,1,2,1,0,35.0,0,262.0
275,9,0,1,1,0,34.0,4,644.0
276,3,0,2,0,0,35.0,11219,699.0
277,9,1,2,0,0,38.0,0,247.0
278,1,0,0,0,0,50.0,5776,49.0
279,1,2,0,1,0,51.0,37,341.0
280,6,0,2,0,0,59.0,593,64.0
281,1,0,1,1,0,32.0,1148,121.0
282,1,1,1,1,0,37.0,3561,98.0
283,0,2,1,0,0,42.0,63,88.0
284,8,0,1,0,0,40.0,260,197.0
285,9,1,2,1,0,28.0,2269,331.0
286,0,0,1,1,0,47.0,1060,83.0
287,6,0,1,1,0,27.0,-220,138.0
288,4,0,2,1,0,41.0,49,312.0
289,0,0,2,0,1,34.0,69,120.0
290,1,0,0,1,1,50.0,4108,526.0
291,1,0,1,1,0,47.0,480,211.0
292,7,0,1,0,0,53.0,4994,62.0
293,9,2,1,1,0,53.0,0,135.0
294,4,0,2,0,0,47.0,3681,101.0
295,2,2,3,1,1,49.0,-701,988.0
296,4,0,2,0,0,29.0,451,451.0
297,1,2,0,1,1,45.0,-311,1030.0
298,2,0,1,1,1,38.0,593,1484.0
299,1,0,1,1,1,32.0,759,317.0
300,5,2,0,0,0,70.0,4531,445.0
301,5,2,0,0,0,65.0,1840,383.0
302,1,0,1,1,0,56.0,345,605.0
303,1,0,1,1,0,35.0,1287,330.0
304,4,0,3,0,0,56.0,353,171.0
305,9,0,1,0,0,56.0,205,442.0
306,2,0,1,1,1,49.0,687,772.0
307,10,0,0,1,0,38.0,1147,249.0
308,4,0,2,1,0,35.0,4286,357.0
309,0,0,2,0,0,38.0,605,147.0
310,1,0,1,1,0,49.0,8545,199.0
311,4,0,3,0,0,55.0,559,271.0
312,1,1,0,1,0,43.0,2,783.0
313,4,0,2,0,0,43.0,2,472.0
314,0,1,2,1,1,25.0,760,223.0
315,1,0,0,1,0,30.0,1317,395.0
316,1,0,1,0,0,46.0,182,56.0
317,0,0,0,0,0,50.0,276,641.0
318,2,0,1,0,1,35.0,2971,429.0
319,10,1,1,0,0,26.0,1064,113.0
320,0,0,3,0,0,45.0,1783,11.0
321,1,0,1,0,0,37.0,-67,157.0
322,6,1,2,0,0,60.0,179,79.0
323,4,0,2,0,1,38.0,1199,178.0
324,1,0,0,1,0,47.0,214,168.0
325,9,0,1,0,0,33.0,6699,425.0
326,10,0,1,0,0,51.0,1760,162.0
327,2,1,2,1,1,35.0,145,-799.0
328,10,0,1,0,1,35.0,978,1370.0
329,0,1,1,1,0,48.0,1150,357.0
330,0,0,1,0,0,37.0,121,22.0
331,9,1,2,1,0,29.0,828,215.0
332,0,0,1,1,0,34.0,244,56.0
333,7,0,0,1,1,32.0,228,1017.0
334,4,1,2,0,1,30.0,424,298.0
335,4,2,2,0,0,47.0,447,126.0
336,1,0,0,0,0,33.0,-195,9.0
337,4,1,2,1,0,33.0,1410,8.0
338,5,0,0,0,0,63.0,1084,201.0
339,6,2,0,0,0,51.0,10924,106.0
340,4,0,2,1,0,41.0,832,164.0
341,5,0,2,0,0,56.0,478,97.0
342,4,1,2,0,0,60.0,0,151.0
343,6,1,2,1,0,41.0,3950,96.0
344,4,1,3,1,0,37.0,504,555.0
345,1,1,1,1,0,36.0,219,270.0
346,4,0,2,0,0,57.0,1602,339.0
347,4,0,0,0,1,55.0,2587,328.0
348,0,0,1,1,0,44.0,0,159.0
349,6,0,2,1,0,47.0,2303,323.0
350,1,0,1,1,0,31.0,1660,342.0
351,4,0,2,1,0,35.0,32,180.0
352,4,0,2,0,0,39.0,278,60.0
353,4,0,2,0,0,50.0,4,223.0
354,4,0,2,1,0,29.0,318,1434.0
355,7,1,1,1,0,30.0,209,30.0
356,7,0,1,1,0,46.0,271,134.0
357,4,1,3,0,0,27.0,3196,10.0
358,0,2,1,0,1,48.0,4099,397.0
359,8,1,1,1,0,26.0,2572,620.0
360,4,1,2,0,0,36.0,339,6.0
361,1,0,0,1,0,42.0,0,209.0
362,3,0,0,1,0,50.0,395,419.0
363,1,0,1,1,0,49.0,2039,283.0
364,4,0,2,0,0,45.0,5450,188.0
365,8,1,1,0,0,23.0,780,267.0
366,9,1,1,1,0,38.0,0,196.0
367,4,1,2,1,0,32.0,8436,245.0
368,9,1,0,0,1,60.0,11262,323.0
369,2,0,1,1,0,30.0,946,1065.0
370,3,0,2,0,0,58.0,497,138.0
371,5,0,0,0,0,60.0,55,207.0
372,7,0,1,0,0,38.0,-140,456.0
373,9,0,1,1,0,51.0,-379,261.0
374,0,0,1,1,0,42.0,-396,80.0
375,7,1,1,1,0,30.0,0,131.0
376,4,0,0,1,0,40.0,733,94.0
377,4,0,2,1,1,37.0,393,567.0
378,9,2,0,1,0,53.0,7290,153.0
379,7,1,1,1,0,27.0,468,109.0
380,1,0,1,1,0,39.0,0,53.0
381,1,0,0,1,0,39.0,3705,77.0
382,5,0,2,0,1,59.0,9676,234.0
383,7,0,1,1,0,37.0,1328,121.0
384,1,0,0,1,0,41.0,8,155.0
385,1,0,0,0,0,45.0,61,108.0
386,4,0,2,0,0,48.0,6613,159.0
387,9,0,1,1,0,48.0,302,208.0
388,1,0,1,0,0,32.0,1005,215.0
389,7,0,1,1,0,35.0,109,597.0
390,4,1,2,1,0,33.0,1240,505.0
391,1,1,0,1,0,28.0,0,380.0
392,5,0,3,0,0,64.0,2923,120.0
393,9,0,1,0,0,35.0,0,106.0
394,1,0,1,1,0,33.0,43,332.0
395,9,0,1,1,0,41.0,288,221.0
396,0,0,1,1,0,34.0,613,80.0
397,9,1,2,0,0,37.0,6101,60.0
398,1,0,0,1,0,38.0,168,212.0
399,1,0,0,1,0,39.0,7685,493.0
400,9,2,2,1,0,35.0,4515,98.0
401,1,1,1,0,1,28.0,517,681.0
402,1,1,1,0,0,27.0,148,203.0
403,5,0,0,0,0,48.0,-285,157.0
404,1,0,1,0,0,50.0,887,287.0
405,6,0,1,1,0,45.0,3098,159.0
406,9,0,2,1,0,41.0,744,125.0
407,9,0,1,0,0,39.0,130,202.0
408,4,0,1,1,0,44.0,438,37.0
409,0,0,1,0,1,54.0,0,161.0
410,4,0,2,0,0,49.0,322,72.0
411,1,1,1,0,0,34.0,186,342.0
412,5,2,2,1,1,75.0,3810,262.0
413,4,0,2,0,0,42.0,0,325.0
414,1,0,1,0,0,53.0,4380,223.0
415,4,2,2,0,1,49.0,755,1212.0
416,7,1,1,0,0,31.0,2070,319.0
417,1,1,0,0,0,45.0,999,182.0
418,6,0,1,1,0,39.0,167,330.0
419,9,0,1,1,0,46.0,1322,514.0
420,0,2,1,1,0,42.0,1076,213.0
421,4,0,2,1,0,37.0,502,551.0
422,9,1,2,1,0,26.0,1216,472.0
423,4,1,2,1,0,37.0,876,140.0
424,7,1,1,1,0,36.0,342,142.0
425,1,1,0,1,0,29.0,950,135.0
426,1,0,0,1,0,36.0,973,293.0
427,9,0,2,1,0,26.0,3825,107.0
428,1,0,1,1,0,32.0,2366,127.0
429,4,0,2,1,0,40.0,542,1816.0
430,4,0,0,0,0,53.0,995,200.0
431,4,0,2,1,0,29.0,20,418.0
432,9,1,2,1,0,34.0,228,387.0
433,1,0,1,0,0,43.0,130,156.0
434,4,0,2,0,0,56.0,217,121.0
435,2,2,2,0,0,55.0,0,108.0
436,6,0,2,1,0,31.0,259,47.0
437,0,1,1,1,0,27.0,619,16.0
438,4,0,1,1,0,36.0,644,54.0
439,4,0,2,1,0,44.0,22,265.0
440,0,2,2,1,0,37.0,4303,168.0
441,0,1,1,1,0,30.0,239,115.0
442,9,1,1,0,0,42.0,275,31.0
443,4,0,2,1,1,30.0,1221,279.0
444,5,0,1,0,0,62.0,816,28.0
445,1,0,1,1,0,24.0,1222,369.0
446,9,0,1,1,0,31.0,2363,247.0
447,5,0,2,0,0,66.0,2262,155.0
448,0,0,1,0,0,47.0,2,89.0
449,2,0,2,1,0,39.0,2,180.0
450,9,0,1,1,1,35.0,4508,854.0
451,0,2,1,1,0,35.0,-402,46.0
452,9,0,1,1,0,27.0,1577,266.0
453,1,0,1,1,0,32.0,34,321.0
454,4,0,2,0,0,44.0,795,99.0
455,1,0,1,1,0,42.0,117,147.0
457,7,1,1,0,0,25.0,402,264.0
458,9,1,1,0,0,40.0,641,156.0
459,4,2,2,0,0,43.0,36,118.0
460,10,0,2,0,0,55.0,383,343.0
461,1,0,1,1,0,50.0,283,226.0
462,4,2,2,0,0,45.0,0,5.0
463,1,2,1,1,0,35.0,3102,138.0
464,1,0,1,1,1,32.0,889,185.0
465,3,0,1,0,0,59.0,0,722.0
466,6,0,1,1,0,34.0,-370,748.0
467,4,0,2,1,0,39.0,-606,142.0
468,4,1,1,1,0,40.0,10378,523.0
469,1,1,0,1,0,36.0,1313,8.0
470,4,0,2,1,0,40.0,8969,153.0
471,6,0,1,1,0,55.0,-196,210.0
472,2,0,1,1,0,38.0,15,121.0
473,0,0,1,0,1,61.0,4608,212.0
474,4,0,2,1,0,41.0,666,253.0
475,1,0,0,1,0,57.0,452,139.0
476,1,0,1,1,0,48.0,149,71.0
477,5,0,2,0,1,77.0,7802,421.0
478,7,0,1,1,0,35.0,1453,199.0
479,1,0,1,1,0,54.0,1480,108.0
480,4,1,3,1,0,37.0,715,247.0
481,4,1,1,1,0,56.0,237,236.0
482,9,0,1,1,0,40.0,694,97.0
483,4,0,2,0,0,40.0,0,109.0
484,4,0,2,1,0,54.0,55,112.0
485,3,0,0,1,0,55.0,136,15.0
486,7,2,1,1,0,55.0,-404,502.0
487,1,0,0,1,0,52.0,779,30.0
488,1,1,0,1,0,55.0,1187,193.0
489,4,0,2,1,0,33.0,641,347.0
490,1,0,3,1,0,52.0,826,468.0
491,7,2,1,1,0,33.0,991,148.0
492,0,0,1,0,1,53.0,1796,295.0
493,0,0,1,0,1,46.0,22,388.0
494,9,1,1,1,1,44.0,244,1735.0
495,4,2,2,1,0,48.0,1328,339.0
496,3,0,1,1,0,50.0,7317,172.0
497,9,1,1,1,0,34.0,4943,117.0
498,9,1,1,0,0,38.0,258,587.0
499,4,1,2,1,0,42.0,515,501.0
500,4,1,2,0,0,32.0,12607,203.0
501,0,0,1,1,0,58.0,2,282.0
502,4,0,2,0,0,31.0,13,110.0
503,8,1,0,0,1,19.0,103,104.0
504,4,0,2,0,0,41.0,3872,231.0
505,10,0,1,1,0,31.0,296,378.0
506,6,1,0,0,0,52.0,217,193.0
507,6,2,2,1,0,42.0,360,110.0
508,1,1,1,1,0,41.0,428,92.0
509,1,1,1,0,1,30.0,315,1407.0
510,1,0,1,1,0,38.0,121,168.0
511,4,0,2,1,0,32.0,820,738.0
512,9,0,1,1,1,52.0,195,220.0
513,4,2,2,1,0,48.0,108,89.0
514,4,0,2,1,0,36.0,-381,30.0
515,10,2,0,0,0,45.0,757,103.0
516,9,0,2,1,0,34.0,691,70.0
517,1,0,0,1,1,36.0,1925,904.0
518,4,0,2,1,0,34.0,902,159.0
519,5,0,1,0,0,61.0,5207,336.0
520,7,0,1,0,0,54.0,0,220.0
521,2,0,1,0,0,50.0,665,238.0
522,0,2,1,1,0,43.0,738,585.0
523,1,0,0,0,0,47.0,233,293.0
524,7,0,1,1,0,45.0,-839,68.0
525,5,0,0,0,0,57.0,5799,97.0
526,0,0,1,1,0,27.0,1033,1713.0
527,10,2,1,0,0,49.0,66,218.0
528,7,0,0,1,0,43.0,2567,109.0
529,4,0,2,1,0,40.0,1584,661.0
530,7,1,1,1,0,32.0,182,145.0
531,4,0,0,1,0,58.0,76,54.0
532,0,1,1,1,0,34.0,663,111.0
533,9,2,1,1,0,46.0,3455,566.0
534,1,0,1,0,0,29.0,15,136.0
535,1,0,0,0,0,52.0,1054,273.0
536,4,0,2,0,0,45.0,1529,160.0
537,4,1,1,0,0,26.0,63,76.0
538,9,0,2,0,0,40.0,0,44.0
539,0,0,1,1,0,41.0,920,239.0
540,0,1,1,0,1,47.0,3696,250.0
541,9,1,3,0,0,27.0,59,792.0
542,7,0,1,1,0,27.0,0,198.0
543,1,0,1,1,0,48.0,157,73.0
544,0,0,1,0,0,49.0,2465,157.0
545,1,0,0,1,0,35.0,0,90.0
546,6,0,1,0,0,47.0,2,236.0
547,4,0,2,0,0,54.0,0,118.0
548,4,1,2,0,0,39.0,12437,40.0
549,8,1,1,1,0,28.0,378,346.0
550,1,0,0,0,0,54.0,211,200.0
551,9,0,1,1,0,34.0,-228,187.0
552,5,0,1,0,0,63.0,2747,113.0
553,6,0,2,1,0,42.0,1932,192.0
554,9,1,1,0,0,43.0,11269,92.0
555,0,0,1,1,0,37.0,1314,682.0
556,1,0,0,0,0,55.0,2275,139.0
557,4,1,2,0,1,43.0,1304,501.0
558,1,0,1,0,1,41.0,720,651.0
559,9,2,1,1,0,47.0,2914,405.0
560,9,0,1,1,0,34.0,1464,350.0
561,8,1,1,0,0,28.0,11555,125.0
562,7,0,1,1,0,36.0,-302,36.0
563,9,0,1,1,0,50.0,2497,35.0
564,1,0,1,1,0,35.0,-339,389.0
565,9,0,1,1,0,40.0,56,194.0
566,6,1,2,0,0,26.0,211,168.0
567,4,2,2,1,0,36.0,3611,347.0
568,10,0,0,0,0,59.0,0,3025.0
569,8,1,1,0,0,28.0,459,83.0
570,2,0,3,1,0,46.0,242,332.0
571,6,0,1,0,0,50.0,1138,219.0
572,4,0,2,1,0,53.0,1319,427.0
573,5,0,1,0,0,81.0,1,65.0
574,7,2,1,1,0,35.0,67,192.0
575,5,0,3,0,0,58.0,937,155.0
576,7,0,1,1,0,44.0,0,161.0
577,4,0,2,1,0,38.0,-558,533.0
578,1,0,1,0,0,49.0,171,19.0
579,9,1,2,0,0,33.0,696,193.0
580,4,0,2,1,0,29.0,361,819.0
581,9,1,1,0,1,28.0,227,278.0
582,0,0,1,1,0,31.0,236,211.0
583,4,1,2,0,0,33.0,-53,617.0
584,9,0,1,1,0,52.0,192,61.0
585,4,2,2,1,0,43.0,38,197.0
586,6,1,1,1,0,32.0,518,34.0
587,6,0,2,1,0,36.0,16,95.0
588,1,0,1,1,0,41.0,-256,147.0
589,1,0,1,0,0,43.0,105,668.0
590,6,0,2,0,0,45.0,334,87.0
591,9,0,1,0,0,39.0,1048,405.0
592,7,0,1,1,0,41.0,108,83.0
593,9,0,1,0,0,31.0,660,115.0
594,10,1,2,1,0,37.0,0,108.0
595,2,0,3,0,0,28.0,1034,113.0
596,3,0,0,1,0,47.0,201,58.0
597,3,0,0,0,0,37.0,189,148.0
598,5,2,3,1,0,60.0,-49,188.0
599,9,2,1,1,0,43.0,1413,75.0
600,5,2,2,1,0,58.0,264,523.0
601,2,0,2,1,0,52.0,54,103.0
602,1,0,0,1,0,50.0,12519,146.0
603,7,1,1,0,1,32.0,2881,356.0
604,1,0,0,1,0,42.0,0,71.0
605,0,0,1,1,0,31.0,88,189.0
606,1,0,1,1,0,28.0,1020,251.0
607,9,2,2,0,0,36.0,119,127.0
608,10,1,2,0,0,51.0,1594,197.0
609,9,0,2,1,0,46.0,342,84.0
610,7,1,1,0,0,50.0,72,141.0
611,1,0,1,1,0,32.0,14,171.0
612,2,1,2,0,0,26.0,81,262.0
613,6,0,2,0,1,41.0,231,352.0
614,9,0,2,1,0,39.0,1161,236.0
615,1,0,1,1,0,31.0,-45,184.0
616,4,1,2,1,0,28.0,231,568.0
617,4,1,1,0,0,31.0,36,105.0
618,9,0,2,1,0,30.0,1570,260.0
619,9,0,2,0,1,35.0,7050,222.0
620,1,0,0,1,0,33.0,3704,447.0
621,9,1,2,1,0,30.0,6619,239.0
622,1,1,1,1,0,32.0,-84,426.0
623,4,1,2,0,0,40.0,1509,333.0
624,6,0,2,0,0,31.0,1134,174.0
625,9,0,1,1,0,36.0,146,284.0
